x,y,heading
367116.4544858636,3450711.2904089484,-2.6636690173
367116.2195224809,3450711.1687038941,-2.6636690441
367115.9845590926,3450711.0469988449,-2.6636690652
367115.7495957011,3450710.9252938004,-2.6636690932
367115.5146323016,3450710.8035887601,-2.6636691249
367115.2796688965,3450710.6818837263,-2.6636691444
367115.0447054883,3450710.5601786966,-2.6636691786
367114.8097420720,3450710.4384736731,-2.6636692054
367114.5747786502,3450710.3167686546,-2.6636692247
367114.3398152228,3450710.1950636390,-2.6636692592
367114.1048517898,3450710.0733586308,-2.6636692816
367113.8730355834,3450709.9532838115,-2.6636687699
367113.6380721910,3450709.8315786785,-2.6636687985
367113.4031087930,3450709.7098735510,-2.6636688223
367113.1681453894,3450709.5881684278,-2.6636688554
367112.9331819802,3450709.4664633116,-2.6636688775
367112.6982185655,3450709.3447581991,-2.6636689103
367112.4632551427,3450709.2230530921,-2.6636689286
367112.2282917192,3450709.1013479903,-2.6636689625
367111.9933282853,3450708.9796428932,-2.6636689867
367111.7583648482,3450708.8579378016,-2.6636690151
367111.5234014055,3450708.7362327157,-2.6636690375
367111.2884379572,3450708.6145276334,-2.6636690643
367111.0534745034,3450708.4928225563,-2.6636690927
367110.8185110440,3450708.3711174848,-2.6636691222
367110.5835475766,3450708.2494124179,-2.6636691438
367110.3485841084,3450708.1277073571,-2.6636691792
367110.1136206298,3450708.0060023014,-2.6636691961
367109.8786571504,3450707.8842972503,-2.6636692268
367109.6436936606,3450707.7625922030,-2.6636692510
367109.4087301677,3450707.6408871613,-2.6636692814
367109.1769151454,3450707.5208129552,-2.6663625695
367108.9416974541,3450707.3997786148,-2.6663625966
367108.7064797572,3450707.2787442794,-2.6663626232
367108.4712620548,3450707.1577099492,-2.6663626517
367108.2360443468,3450707.0366756245,-2.6663626711
367108.0008266357,3450706.9156413041,-2.6663627007
367107.7656089166,3450706.7946069883,-2.6663627275
367107.5303911919,3450706.6735726777,-2.6663627621
367107.2951734618,3450706.5525383744,-2.6663627797
367107.0599557259,3450706.4315040736,-2.6663628127
367106.8247379846,3450706.3104697797,-2.6663628349
367106.5895202376,3450706.1894354895,-2.6663628617
367106.3543024852,3450706.0684012044,-2.6663628917
367106.1190847271,3450705.9473669254,-2.6663629169
367105.8838669636,3450705.8263326511,-2.6663629308
367105.8178944116,3450705.7923856415,-2.6746015055
367105.5819088696,3450705.6734049316,-2.6746015417
367105.3459233220,3450705.5544242295,-2.6746015693
367105.1099377665,3450705.4354435317,-2.6746015918
367104.8739522079,3450705.3164628390,-2.6746016184
367104.6379666439,3450705.1974821514,-2.6746016468
367104.4019810743,3450705.0785014695,-2.6746016717
