x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
367167.08815158374, 3451004.5863157823, 3.9458520408189193, 1.0625, -0.17138034205465957, -5.807494744969662e-05, 0.0, 1675671699.3730, -2.5421283340260263, 1, 68.60093749999986, 4.333333492279053, 0.0, -0.016447247937321663
367167.0789536378, 3451004.581060025, 3.946436077131433, 1.078125, -0.35778932836264676, -5.807494744969662e-05, 0.0, 1675671699.3982, -2.542130909564994, 1, 68.61171874999985, 4.066666603088379, 0.0, -0.016447247937321663
367167.0605979878, 3451004.570571281, 3.9478298923704234, 1.078125, -0.26783247238467195, -5.807494744969662e-05, 0.0, 1675671699.4182, -2.5421448252105323, 1, 68.62249999999985, 4.333333492279053, 0.0, -0.016447247937321663
367167.03307036974, 3451004.554906721, 3.949945056480968, 1.078125, 0.23313531496355272, -5.807494744969662e-05, 0.0, 1675671699.4383, -2.5421319536917864, 1, 68.63328124999984, 4.066666603088379, 0.0, -0.016447247937321663
367167.0146855928, 3451004.5444539483, 3.9511102459872838, 1.0625, -0.3396185234743566, -5.807494744969662e-05, 0.0, 1675671699.4590, -2.5421048519544156, 1, 68.64390624999984, 4.333333492279053, 0.0, -0.016447247937321663
367166.9963615709, 3451004.534029559, 3.9525091392110725, 1.078125, -0.31305441140337703, -5.807494744969662e-05, 0.0, 1675671699.4798, -2.5420871843910327, 1, 68.65468749999984, 5.366666793823242, 0.0, -0.016447247937321663
367166.9779936096, 3451004.5235936213, 3.9537937672079257, 1.0625, 0.33954466088102975, -5.807494744969662e-05, 0.0, 1675671699.5005, -2.542051794521597, 1, 68.66531249999984, 5.366666793823242, 0.0, -0.016447247937321663
367166.95958310843, 3451004.5130909416, 3.954874086220862, 1.078125, -0.1455061434402447, -5.807494744969662e-05, 0.0, 1675671699.5216, -2.5419973501677617, 1, 68.67609374999984, 5.366666793823242, 0.0, -0.016447247937321663
367166.9412273161, 3451004.502596267, 3.9560267537665204, 1.0625, -0.39781479223990523, -5.807494744969662e-05, 0.0, 1675671699.5488, -2.541958980551321, 1, 68.68671874999984, 5.366666793823242, 0.0, -0.016447247937321663
367166.92285795853, 3451004.4920920413, 3.9572175267947896, 1.09375, -0.1776320021243177, -5.807494744969662e-05, 0.0, 1675671699.5614, -2.5419438472928455, 1, 68.69765624999984, 6.400000095367432, 0.0, -0.016447247937321663
367166.913708094, 3451004.486844324, 3.957893665822578, 1.09375, -0.09472891781193084, -5.807494744969662e-05, 0.0, 1675671699.5618, -2.541938147752825, 1, 68.70859374999984, 6.400000095367432, 0.0, -0.016447247937321663
367166.91062303394, 3451004.473306804, 3.9408817885894565, 1.078125, -0.10227150830930556, -5.807494744969662e-05, 0.0, 1675671699.5785, -2.5422460988570945, 1, 68.71937499999983, 6.133333206176758, 0.0, -0.016447247937321663
367166.90151265194, 3451004.468034898, 3.941539740226287, 1.078125, -0.07011744789382138, -5.807494744969662e-05, 0.0, 1675671699.5788, -2.542243374793128, 1, 68.73015624999982, 6.133333206176758, 0.0, -0.016447247937321663
367166.8924125457, 3451004.462744405, 3.9421906822798523, 1.0625, -0.10951969110901247, -5.807494744969662e-05, 0.0, 1675671699.5989, -2.54224255203855, 1, 68.74078124999983, 5.366666793823242, 0.0, -0.016447247937321663
367166.8742699826, 3451004.452164224, 3.943630761539939, 1.09375, -0.3162049116739434, -5.807494744969662e-05, 0.0, 1675671699.6199, -2.542250641633637, 1, 68.75171874999982, 5.099999904632568, 0.0, -0.016447247937321663
367166.8562092209, 3451004.441632012, 3.9452239731493206, 1.078125, -0.053920338658138556, -5.807494744969662e-05, 0.0, 1675671699.6404, -2.5422737193565297, 1, 68.76249999999982, 4.066666603088379, 0.0, -0.016447247937321663
367166.8381290889, 3451004.4311051266, 3.9466529533874293, 1.0625, 0.22363713040377164, -5.807494744969662e-05, 0.0, 1675671699.6618, -2.542276130771018, 1, 68.77312499999982, 3.0333333015441895, 0.0, -0.016447247937321663
367166.82014660194, 3451004.4205951504, 3.9481587058692957, 1.0625, -0.09590986875916319, -5.807494744969662e-05, 0.0, 1675671699.6872, -2.542265515783509, 1, 68.78374999999983, 2.0, 0.0, -0.016447247937321663
367166.80219031626, 3451004.4102020385, 3.9497271446244797, 1.078125, 0.1539652196872736, -5.807494744969662e-05, 0.0, 1675671699.7085, -2.542214313955732, 1, 68.79453124999982, 2.0, 0.0, -0.016447247937321663
367166.7842094514, 3451004.399791533, 3.951154656431109, 1.078125, 0.1432389890906506, -5.807494744969662e-05, 0.0, 1675671699.7297, -2.5421483799158135, 1, 68.80531249999981, 2.0, 0.0, -0.016447247937321663
367166.75718088495, 3451004.38431377, 3.9530348056152684, 1.0625, 0.36533339372823426, -5.807494744969662e-05, 0.0, 1675671699.7505, -2.541999657044502, 1, 68.81593749999982, 3.0333333015441895, 0.0, -0.016447247937321663
367166.744519601, 3451004.3696829434, 3.934307031324967, 1.0625, 0.24852346881707926, -5.807494744969662e-05, 0.0, 1675671699.7625, -2.5417807050571906, 1, 68.82656249999982, 3.0333333015441895, 0.0, -0.016447247937321663
367166.73555877927, 3451004.364507525, 3.934915481494828, 1.0625, 0.2370854211122725, -5.807494744969662e-05, 0.0, 1675671699.7808, -2.541746758064546, 1, 68.83718749999983, 3.0333333015441895, 0.0, -0.016447247937321663
367166.7265879886, 3451004.3593806545, 3.9355347522129907, 1.0625, 0.23117916357642254, -5.807494744969662e-05, 0.0, 1675671699.7810, -2.5417088791365607, 1, 68.84781249999983, 3.0333333015441895, 0.0, -0.016447247937321663
367166.7086225361, 3451004.349133569, 3.9366672749447074, 1.046875, 0.596760312489638, -5.807494744969662e-05, 0.0, 1675671699.8015, -2.5416574440161126, 1, 68.85828124999983, 2.799999952316284, 0.0, -0.016447247937321663
367166.6996217134, 3451004.3439846067, 3.937179154425384, 1.0625, 0.45114910044398154, -5.807494744969662e-05, 0.0, 1675671699.8273, -2.5416395183838283, 1, 68.86890624999984, 3.0333333015441895, 0.0, -0.016447247937321663
367166.681701335, 3451004.333782403, 3.9384266574654174, 1.046875, 0.285096764005351, -5.807494744969662e-05, 0.0, 1675671699.8479, -2.541618359684988, 1, 68.87937499999984, 3.0333333015441895, 0.0, -0.016447247937321663
367166.6637605413, 3451004.3235431965, 3.9396353947953813, 1.046875, 0.24076719938260344, -5.807494744969662e-05, 0.0, 1675671699.8687, -2.541641469623908, 1, 68.88984374999984, 3.0333333015441895, 0.0, -0.016447247937321663
367166.63700659096, 3451004.3083142587, 3.9418099778727798, 1.0625, 0.1964910310366207, -5.807494744969662e-05, 0.0, 1675671699.8898, -2.5416676644994736, 1, 68.90046874999985, 2.0, 0.0, -0.016447247937321663
367166.6191655877, 3451004.298283861, 3.9432946634963257, 1.046875, 0.2347601160299399, -5.807494744969662e-05, 0.0, 1675671699.9103, -2.5416578253306428, 1, 68.91093749999985, 2.0, 0.0, -0.016447247937321663
367166.6012654369, 3451004.288205345, 3.9446355306747285, 1.03125, -0.02893085538611247, -5.807494744969662e-05, 0.0, 1675671699.9319, -2.5416658330447426, 1, 68.92124999999984, 2.0, 0.0, -0.016447247937321663
367166.58337626327, 3451004.2782511893, 3.9460527421997496, 1.046875, 0.272946161229752, -5.807494744969662e-05, 0.0, 1675671699.9525, -2.54164112461895, 1, 68.93171874999985, 3.0333333015441895, 0.0, -0.016447247937321663
367166.56540723005, 3451004.2682417384, 3.947173938317036, 1.046875, 0.026833802729949674, -5.807494744969662e-05, 0.0, 1675671699.9678, -2.5416099616531573, 1, 68.94218749999985, 3.0333333015441895, 0.0, -0.016447247937321663
367166.56051239814, 3451004.254455174, 3.9291449437658796, 1.046875, -0.011424795896305587, -5.807494744969662e-05, 0.0, 1675671699.9882, -2.541969100874436, 1, 68.95265624999985, 3.0333333015441895, 0.0, -0.016447247937321663
367166.542585778, 3451004.2443917664, 3.930114224931712, 1.03125, -0.3284636490187658, -5.807494744969662e-05, 0.0, 1675671700.0086, -2.541920704921635, 1, 68.96296874999985, 3.0333333015441895, 0.0, -0.016447247937321663
367166.5157940713, 3451004.229338901, 3.93163850555613, 1.0625, 0.04295643611500749, -5.807494744969662e-05, 0.0, 1675671700.0298, -2.5418548598384945, 1, 68.97359374999985, 3.299999952316284, 0.0, -0.016447247937321663
367166.4979766766, 3451004.2192606474, 3.9325848477156438, 1.046875, -0.34624264149497885, -5.807494744969662e-05, 0.0, 1675671700.0503, -2.541795215014261, 1, 68.98406249999985, 3.0333333015441895, 0.0, -0.016447247937321663
367166.48027000355, 3451004.209107806, 3.93367632356064, 1.046875, -0.5120045494886831, -5.807494744969662e-05, 0.0, 1675671700.0706, -2.5417833079916763, 1, 68.99453124999985, 2.0, 0.0, -0.016447247937321663
367166.4626181733, 3451004.1990362136, 3.934947316079226, 1.03125, 0.015390406179491715, -5.807494744969662e-05, 0.0, 1675671700.0972, -2.541743499956839, 1, 69.00484374999985, 2.0, 0.0, -0.016447247937321663
367166.44502246164, 3451004.1888853996, 3.936180268594065, 1.0625, -0.2568811457819443, -5.807494744969662e-05, 0.0, 1675671700.1183, -2.541738707211076, 1, 69.01546874999985, 1.7666666507720947, 0.0, -0.016447247937321663
367166.4274329044, 3451004.1787819616, 3.9374697532092116, 1.046875, -0.2800077942541767, -0.0, 0.005547457666836691, 1675671700.1396, -2.541728005876058, 1, 69.02593749999986, 2.0, 0.0, -0.0
367166.41000066255, 3451004.1687101857, 3.9390686699286244, 1.046875, 0.41879273116256266, -0.0, 0.0, 1675671700.1399, -2.5417254783228014, 1, 69.03640624999986, 2.0, 0.0, -0.0
367166.40131215873, 3451004.1636394914, 3.9398317218417116, 1.046875, 0.23823976378516226, -0.0, 0.0, 1675671700.1601, -2.5417289325738954, 1, 69.04687499999986, 1.7666666507720947, 0.0, -0.0
367166.38384794927, 3451004.153514338, 3.9410800182492984, 1.046875, -0.05014431859856329, -0.0, 0.0, 1675671700.1724, -2.541716075108628, 1, 69.05734374999986, 2.0, 0.0, -0.0
367166.37052939145, 3451004.135266382, 3.922749116208135, 1.03125, 0.2057509015172696, -0.0, 0.0, 1675671700.1918, -2.542089890401594, 1, 69.06765624999986, 2.0, 0.0, -0.0
367166.3617712881, 3451004.1302092406, 3.9231626157464525, 1.046875, 0.4092890468330061, -0.0, 0.0, 1675671700.2120, -2.542066999673313, 1, 69.07812499999986, 2.0, 0.0, -0.0
367166.3443884344, 3451004.1201344156, 3.924126883823246, 1.03125, 0.6926506704152388, -0.0, 0.0, 1675671700.2380, -2.5420113740741774, 1, 69.08843749999986, 2.0, 0.0, -0.0
367166.326836697, 3451004.1099903593, 3.9246951362591727, 1.046875, -0.20896673357046897, -0.0, 0.0, 1675671700.2587, -2.541951999796245, 1, 69.09890624999986, 2.0, 0.0, -0.0
367166.3092765593, 3451004.099901544, 3.925199455016831, 1.03125, -0.2902073323836059, -0.0, 0.0, 1675671700.2794, -2.5419736026704447, 1, 69.10921874999985, 3.0333333015441895, 0.0, -0.0
367166.28289533453, 3451004.0849312255, 3.926119903792655, 1.046875, 0.836399388645533, -0.0, 0.0, 1675671700.2972, -2.5420133321393603, 1, 69.11968749999986, 2.799999952316284, 0.0, -0.0
367166.27407701546, 3451004.0798459356, 3.926322305596355, 1.046875, 0.3046374907456494, 5.807494744969662e-05, 0.005547457666836691, 1675671700.3181, -2.5420240732038106, 1, 69.13015624999986, 4.333333492279053, 0.0, 0.016447247937321663
367166.2389158477, 3451004.059836095, 3.9279920770443777, 1.0625, -0.5035228603641895, 5.807494744969662e-05, 0.0, 1675671700.3397, -2.5420779204299535, 1, 69.14078124999986, 5.099999904632568, 0.0, 0.016447247937321663
367166.2301409763, 3451004.0548959584, 3.92863016634383, 1.046875, 0.11512325763174294, 5.807494744969662e-05, 0.0, 1675671700.3553, -2.5420773554289013, 1, 69.15124999999986, 6.400000095367432, 0.0, 0.016447247937321663
367166.22421140963, 3451004.0432627946, 3.909039022655549, 1.046875, 0.5920304049504277, 5.807494744969662e-05, 0.0, 1675671700.3697, -2.5420307921012704, 1, 69.16171874999986, 6.400000095367432, 0.0, 0.016447247937321663
367166.2066055215, 3451004.033152897, 3.9102017330645005, 1.03125, -0.03180839181924752, 5.807494744969662e-05, 0.0, 1675671700.3900, -2.541970613986914, 1, 69.17203124999986, 6.400000095367432, 0.0, 0.016447247937321663
367166.18889938405, 3451004.0230630594, 3.9112985484667977, 1.046875, -0.7158791290990509, 5.807494744969662e-05, 0.0, 1675671700.4122, -2.541863235272724, 1, 69.18249999999986, 5.366666793823242, 0.0, 0.016447247937321663
367166.1711479176, 3451004.013039196, 3.912503780341913, 1.046875, -0.3571980573880477, 5.807494744969662e-05, 0.0, 1675671700.4369, -2.5417631629460065, 1, 69.19296874999986, 5.366666793823242, 0.0, 0.016447247937321663
367166.1533256169, 3451004.00294682, 3.9135877343353442, 1.03125, 0.43960055989227964, 5.807494744969662e-05, 0.0, 1675671700.4571, -2.5416797136996294, 1, 69.20328124999986, 5.366666793823242, 0.0, 0.016447247937321663
367166.1355453005, 3451003.992866402, 3.914689589346893, 1.0625, 0.08831018432606132, 5.807494744969662e-05, 0.0, 1675671700.4781, -2.5415686766339665, 1, 69.21390624999987, 5.099999904632568, 0.0, 0.016447247937321663
367166.1088454116, 3451003.977555032, 3.916056606564905, 1.046875, -0.5954329388604506, 5.807494744969662e-05, 0.0, 1675671700.4988, -2.5415358220903688, 1, 69.22437499999987, 5.366666793823242, 0.0, 0.016447247937321663
367166.10000430094, 3451003.972470229, 3.916643534764098, 1.046875, -0.22317418233643316, 5.807494744969662e-05, 0.0, 1675671700.4992, -2.5415431540681785, 1, 69.23484374999987, 5.366666793823242, 0.0, 0.016447247937321663
367166.09111014975, 3451003.96732152, 3.9171473230399534, 1.03125, -0.15748504513899164, 5.807494744969662e-05, 0.0, 1675671700.5204, -2.5415595281863315, 1, 69.24515624999987, 5.099999904632568, 0.0, 0.016447247937321663
